"Name","SamAccountName","GroupCategory","GroupScope","Description","ManagedBy","whenCreated","DistinguishedName"
"Access Control Assistance Operators","Access Control Assistance Operators","Security","DomainLocal","Members of this group can remotely query authorization attributes and permissions for resources on this computer.",,"3/3/2026 11:34:16 PM","CN=Access Control Assistance Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Account Operators","Account Operators","Security","DomainLocal","Members can administer domain user and group accounts",,"3/3/2026 11:37:30 PM","CN=Account Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Administrators","Administrators","Security","DomainLocal","Administrators have complete and unrestricted access to the computer/domain",,"3/3/2026 11:34:16 PM","CN=Administrators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Allowed RODC Password Replication Group","Allowed RODC Password Replication Group","Security","DomainLocal","Members in this group can have their passwords replicated to all read-only domain controllers in the domain",,"3/3/2026 11:37:31 PM","CN=Allowed RODC Password Replication Group,CN=Users,DC=corp,DC=azureuser,DC=org"
"Backup Operators","Backup Operators","Security","DomainLocal","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files",,"3/3/2026 11:34:16 PM","CN=Backup Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Cert Publishers","Cert Publishers","Security","DomainLocal","Members of this group are permitted to publish certificates to the directory",,"3/3/2026 11:37:30 PM","CN=Cert Publishers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Certificate Service DCOM Access","Certificate Service DCOM Access","Security","DomainLocal","Members of this group are allowed to connect to Certification Authorities in the enterprise",,"3/3/2026 11:34:16 PM","CN=Certificate Service DCOM Access,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Cloneable Domain Controllers","Cloneable Domain Controllers","Security","Global","Members of this group that are domain controllers may be cloned.",,"3/3/2026 11:37:32 PM","CN=Cloneable Domain Controllers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Cryptographic Operators","Cryptographic Operators","Security","DomainLocal","Members are authorized to perform cryptographic operations.",,"3/3/2026 11:34:16 PM","CN=Cryptographic Operators,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"Denied RODC Password Replication Group","Denied RODC Password Replication Group","Security","DomainLocal","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain",,"3/3/2026 11:37:31 PM","CN=Denied RODC Password Replication Group,CN=Users,DC=corp,DC=azureuser,DC=org"
"DHCP Administrators","DHCP Administrators","Security","DomainLocal","Members who have administrative access to the DHCP Service",,"3/3/2026 11:56:08 PM","CN=DHCP Administrators,CN=Users,DC=corp,DC=azureuser,DC=org"
"DHCP Users","DHCP Users","Security","DomainLocal","Members who have view-only access to the DHCP service",,"3/3/2026 11:56:08 PM","CN=DHCP Users,CN=Users,DC=corp,DC=azureuser,DC=org"
"Distributed COM Users","Distributed COM Users","Security","DomainLocal","Members are allowed to launch, activate and use Distributed COM objects on this machine.",,"3/3/2026 11:34:16 PM","CN=Distributed COM Users,CN=Builtin,DC=corp,DC=azureuser,DC=org"
"DL_File_Finance_RW","DL_File_Finance_RW","Security","DomainLocal","Read write access to Finance shares",,"3/4/2026 12:38:16 PM","CN=DL_File_Finance_RW,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"DL_File_HR_RW","DL_File_HR_RW","Security","DomainLocal","Read write access to HR shares",,"3/4/2026 12:38:16 PM","CN=DL_File_HR_RW,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"DL_File_IT_RW","DL_File_IT_RW","Security","DomainLocal","Read write access to IT file shares",,"3/4/2026 12:38:16 PM","CN=DL_File_IT_RW,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"DL_File_Operations_RW","DL_File_Operations_RW","Security","DomainLocal","Read write access to Operations shares",,"3/4/2026 12:38:16 PM","CN=DL_File_Operations_RW,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"DL_File_Sales_RW","DL_File_Sales_RW","Security","DomainLocal","Read write access to Sales shares",,"3/4/2026 12:38:16 PM","CN=DL_File_Sales_RW,OU=Groups,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"DnsAdmins","DnsAdmins","Security","DomainLocal","DNS Administrators Group",,"3/5/2026 1:00:55 PM","CN=DnsAdmins,CN=Users,DC=corp,DC=azureuser,DC=org"
"DnsUpdateProxy","DnsUpdateProxy","Security","Global","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).",,"3/3/2026 11:38:27 PM","CN=DnsUpdateProxy,CN=Users,DC=corp,DC=azureuser,DC=org"
"Domain Admins","Domain Admins","Security","Global","Designated administrators of the domain",,"3/3/2026 11:37:30 PM","CN=Domain Admins,CN=Users,DC=corp,DC=azureuser,DC=org"
"Domain Computers","Domain Computers","Security","Global","All workstations and servers joined to the domain",,"3/3/2026 11:37:29 PM","CN=Domain Computers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Domain Controllers","Domain Controllers","Security","Global","All domain controllers in the domain",,"3/3/2026 11:37:30 PM","CN=Domain Controllers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Domain Guests","Domain Guests","Security","Global","All domain guests",,"3/3/2026 11:37:30 PM","CN=Domain Guests,CN=Users,DC=corp,DC=azureuser,DC=org"
"Domain Users","Domain Users","Security","Global","All domain users",,"3/3/2026 11:37:30 PM","CN=Domain Users,CN=Users,DC=corp,DC=azureuser,DC=org"
"Enterprise Admins","Enterprise Admins","Security","Universal","Designated administrators of the enterprise",,"3/3/2026 11:37:30 PM","CN=Enterprise Admins,CN=Users,DC=corp,DC=azureuser,DC=org"
"Enterprise Key Admins","Enterprise Key Admins","Security","Universal","Members of this group can perform administrative actions on key objects within the forest.",,"3/3/2026 11:37:32 PM","CN=Enterprise Key Admins,CN=Users,DC=corp,DC=azureuser,DC=org"
"Enterprise Read-only Domain Controllers","Enterprise Read-only Domain Controllers","Security","Universal","Members of this group are Read-Only Domain Controllers in the enterprise",,"3/3/2026 11:37:32 PM","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=corp,DC=azureuser,DC=org"
"Event Log Readers","Event Log Readers","Security","DomainLocal","Members of this group can read event logs from local machine",,"3/3/2026 11:34:16 PM","CN=Event Log Readers,CN=Builtin,DC=corp,DC=azureuser,DC=org"
